price_bin,net_load_bin,soc_bin,time_block,weekend,q_discharge,q_hold,q_charge,visits_discharge,visits_hold,visits_charge,state_visits,best_action,best_action_index,best_environment_action
1,0,1,1,1,-43.73689066767291,-42.32399480393195,-44.28377625026956,706,625,123,1454,hold,1,0
1,0,1,2,0,-58.348140882174064,-59.40032042440081,-58.99358747017726,98,105,65,268,discharge,0,-1
1,0,1,2,1,-41.4437211334046,-41.15517328623676,-41.227546453616505,23,24,18,65,hold,1,0
1,0,1,3,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,0,1,3,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,0,2,0,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,0,2,0,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,0,2,1,0,-54.68716719192745,-55.5986509507009,-56.89099743195794,916,911,298,2125,discharge,0,-1
1,0,2,1,1,-43.57947376222381,-42.79839112010564,-43.715233032350184,635,620,207,1462,hold,1,0
1,0,2,2,0,-58.149037338215436,-57.43835219792637,-58.14818569949427,272,181,92,545,hold,1,0
1,0,2,2,1,-38.72162846017959,-38.102516793988634,-38.91975281740146,21,18,20,59,hold,1,0
1,0,2,3,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,0,2,3,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,0,3,0,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,0,3,0,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,0,3,1,0,-55.5832410313444,-53.682967788151714,-56.02508663342962,985,1125,1058,3168,hold,1,0
1,0,3,1,1,-42.765479396305885,-42.821246887453306,-42.770595321273674,623,789,952,2364,discharge,0,-1
1,0,3,2,0,-57.42648229829269,-56.25877302380025,-57.462621728542935,314,422,260,996,hold,1,0
1,0,3,2,1,-49.6517039984807,-50.33780478098882,-50.27402427277888,60,62,64,186,discharge,0,-1
1,0,3,3,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,0,3,3,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,1,0,0,0,-70.39298735787096,-74.04924301357107,-75.66301933276323,12528,12789,8582,33899,discharge,0,-1
1,1,0,0,1,-55.10784110310257,-57.76199477626428,-58.25345273429376,8578,6753,4151,19482,discharge,0,-1
1,1,0,1,0,-65.48733493713053,-61.66658157235525,-65.6716869261335,8655,7410,1901,17966,hold,1,0
1,1,0,1,1,-50.89238845867915,-55.52627766043369,-55.52842645347793,3355,2335,897,6587,discharge,0,-1
1,1,0,2,0,-65.07381884065879,-71.17021173578038,-73.09838622454825,1675,1433,312,3420,discharge,0,-1
1,1,0,2,1,-58.86643475342814,-59.95185793183533,-60.73715173493318,365,147,86,598,discharge,0,-1
1,1,0,3,0,-62.20409737640358,-66.34256554759398,-69.75763578486115,3731,2872,692,7295,discharge,0,-1
1,1,0,3,1,-65.5298350723326,-58.84849614069029,-67.0524778871592,3188,3038,648,6874,hold,1,0
1,1,1,0,0,-72.46886462416134,-73.44293518369224,-73.29310123459415,498,928,325,1751,discharge,0,-1
1,1,1,0,1,-52.3992660369108,-56.70382761060003,-57.8916830538598,724,2910,550,4184,discharge,0,-1
1,1,1,1,0,-55.89280920361793,-64.65924259805956,-64.34062191434886,1757,1169,623,3549,discharge,0,-1
1,1,1,1,1,-50.53009881070851,-50.88605519324009,-50.36805077769717,750,1713,269,2732,charge,2,1
1,1,1,2,0,-65.33199108777917,-70.69664608598679,-69.4825617448263,501,332,106,939,discharge,0,-1
1,1,1,2,1,-60.502373372771224,-59.837289419905154,-60.69084430004858,191,334,102,627,hold,1,0
1,1,1,3,0,-63.44520524296039,-60.95280675373953,-63.360163244474556,85,108,62,255,hold,1,0
1,1,1,3,1,-63.76414441132687,-60.79980125482627,-63.20310643060135,216,438,149,803,hold,1,0
1,1,2,0,0,-73.42752718858374,-69.93342494508316,-73.62531967909689,4082,5754,1992,11828,hold,1,0
1,1,2,0,1,-51.90097879156966,-56.191406112187515,-56.146237052942375,4028,4141,1192,9361,discharge,0,-1
1,1,2,1,0,-60.255330498073064,-64.464393233755,-64.56873365248758,3594,3186,1063,7843,discharge,0,-1
1,1,2,1,1,-53.532608902435406,-53.72011867541472,-51.70772893168001,1939,1548,501,3988,charge,2,1
1,1,2,2,0,-63.34023183566106,-68.71404650565258,-69.92995024178553,933,749,257,1939,discharge,0,-1
1,1,2,2,1,-57.859692616041905,-58.74752051940662,-59.13489017557904,370,195,127,692,discharge,0,-1
1,1,2,3,0,-64.8860409384572,-66.82078928986397,-67.25288642686452,834,748,251,1833,discharge,0,-1
1,1,2,3,1,-58.81262652765533,-62.11469823759192,-61.952239487669765,705,591,291,1587,discharge,0,-1
1,1,3,0,0,-68.03625786348985,-70.53454458555652,-70.62762645951922,1969,3476,3477,8922,discharge,0,-1
1,1,3,0,1,-52.124272035296556,-53.53630636579665,-53.532545128443715,1724,2736,1513,5973,discharge,0,-1
1,1,3,1,0,-61.04500534353201,-63.21589186530762,-64.03788257188762,2651,2752,3039,8442,discharge,0,-1
1,1,3,1,1,-49.74932764062498,-45.842155304206564,-49.72715209819966,1846,2064,983,4893,hold,1,0
1,1,3,2,0,-67.5441078810247,-65.75609952018694,-67.22484688001848,2267,1249,986,4502,hold,1,0
1,1,3,2,1,-57.54847821531768,-56.59927697848612,-57.232658494580875,1305,701,477,2483,hold,1,0
