episode,cumulative_reward,electricity_cost_eur,grid_import_kwh,battery_throughput_kwh,epsilon_start,epsilon,final_soc_kwh,training_steps,gradient_updates,target_syncs,mean_training_loss,max_training_loss,max_abs_q,max_abs_target,max_gradient_norm_before_clip,discharge_requests,hold_requests,charge_requests
83,-29338.632946166435,28274.244100543267,294412.0921745168,106438.88456232597,0.050000000000000044,0.050000000000000044,10.0,727080,181271,727,2.1670845643570433,4.372464179992676,101.71904754638672,102.26472473144531,16.57644271850586,2633,3201,2926
84,-29320.364671145486,28268.87260424807,294373.2462105279,105149.20668974974,0.050000000000000044,0.050000000000000044,10.0,735840,183461,735,2.1612022869390985,4.948516368865967,99.36564636230469,101.65971374511719,16.433942794799805,2588,3378,2794
85,-29393.013464560896,28357.481254089966,294531.98957617814,103553.22104709069,0.050000000000000044,0.050000000000000044,10.0,744600,185651,744,2.2218074404485693,4.641693592071533,99.77822875976562,102.18741607666016,16.43777847290039,2444,3391,2925
86,-29401.03999770629,28338.163657761732,294433.73722160835,106287.63399445915,0.050000000000000044,0.050000000000000044,27.43368421052631,753360,187841,753,2.170687102182815,4.945802211761475,101.01428985595703,101.07930755615234,17.427959442138672,2581,3463,2716
87,-29422.0219849775,28406.958524312726,294069.56629917043,101506.3460664811,0.050000000000000044,0.050000000000000044,10.0,762120,190031,762,2.249866664464071,4.615085601806641,101.22572326660156,103.51509094238281,16.105182647705078,2354,3558,2848
88,-29356.623189901078,28345.022340288935,294145.2695069264,101160.08496121794,0.050000000000000044,0.050000000000000044,25.142105263157887,770880,192221,770,2.2391740863726017,4.695513725280762,102.1614761352539,103.46063232421875,19.46445083618164,2332,3491,2937
89,-29431.69823458056,28378.0828090404,294206.56066482153,105361.5425540157,0.050000000000000044,0.050000000000000044,10.0,779640,194411,779,2.1986910262880803,4.5256242752075195,100.2603759765625,103.99632263183594,15.679489135742188,2428,3470,2862
90,-29356.927285322796,28263.794247040354,294172.1824099739,109313.30382825386,0.050000000000000044,0.050000000000000044,10.0,788400,196601,788,2.189456679668601,4.393932342529297,100.78526306152344,103.46505737304688,19.087270736694336,2560,3274,2926
91,-29414.483215425513,28338.02265201834,294428.6883102506,107646.05634071924,0.050000000000000044,0.050000000000000044,25.142105263157887,797160,198791,797,2.307889708808568,4.733412742614746,100.96966552734375,104.2215805053711,16.220251083374023,2662,3432,2666
92,-29409.505309779153,28330.121306981437,294500.66709695396,107938.40027977734,0.050000000000000044,0.050000000000000044,10.0,805920,200981,805,2.303665269972527,5.157596588134766,102.10655212402344,104.34564208984375,15.320324897766113,2711,3500,2549
93,-29447.988154638515,28363.84157774107,294291.20902493165,108414.65768974969,0.050000000000000044,0.050000000000000044,10.0,814680,203171,814,2.265153216363088,4.707006931304932,102.51390838623047,103.82980346679688,15.006726264953613,2747,3226,2787
94,-29408.06872059453,28328.58633588552,294030.7655678685,107948.23847091322,0.050000000000000044,0.050000000000000044,10.0,823440,205361,823,2.279828807099225,4.474957466125488,105.0394058227539,103.62086486816406,16.345062255859375,2682,3411,2667
95,-29401.810985842112,28310.00172919405,294295.29985872743,109180.92566481877,0.050000000000000044,0.050000000000000044,10.0,832200,207551,832,2.2199675103028613,4.35655403137207,103.57693481445312,105.31795501708984,16.179277420043945,2892,3220,2648
96,-29436.66259304491,28391.355327366262,294072.99165928154,104530.72656786614,0.050000000000000044,0.050000000000000044,43.027368421052635,840960,209741,840,2.3065037623660207,5.057076930999756,101.50514221191406,104.12342834472656,17.061870574951172,2772,3400,2588
97,-29501.827273261246,28440.34808963247,294205.54993905954,106147.91836287986,0.050000000000000044,0.050000000000000044,59.44631578947368,849720,211931,849,2.3113034104919867,4.728891372680664,102.93350219726562,104.60860443115234,18.451282501220703,2709,3502,2549
98,-29436.210981507866,28374.8699935855,294508.7237423836,106134.09879224286,0.050000000000000044,0.050000000000000044,10.0,858480,214121,858,2.2940466005508213,5.273950099945068,103.05581665039062,103.04267883300781,15.704239845275879,2668,3528,2564
99,-29482.050788806882,28375.7520289177,294433.911022162,110629.87598891841,0.050000000000000044,0.050000000000000044,10.0,867240,216311,867,2.265562897185757,5.268279552459717,103.90589141845703,102.08312225341797,15.920998573303223,2913,3312,2535
100,-29527.966285026043,28424.010547796257,294516.90656232805,110395.57372299055,0.050000000000000044,0.050000000000000044,59.44631578947368,876000,218501,876,2.3101543172853725,5.011509895324707,104.18855285644531,107.07232666015625,16.113046646118164,2892,3259,2609
